time, Quad1.Est.E.X, Quad2.Est.E.X, Quad3.Est.E.X, Quad4.Est.E.X, Quad5.Est.E.X, Quad6.Est.E.X, Quad7.Est.E.X, Quad8.Est.E.X, Quad9.Est.E.X, Quad10.Est.E.X, Quad1.Est.S.X, Quad1.Est.S.X
0.005000,0.000004,0.000004,0.000002,-0.000000,0.000003,0.000006,0.000014,0.000007,0.000004,-0.000008,0.100077,-0.100077
0.010000,0.000013,0.000009,0.000006,0.000002,0.000004,0.000011,0.000030,0.000012,0.000005,-0.000017,0.100130,-0.100130
0.015000,0.000029,0.000026,0.000015,-0.000004,0.000002,0.000017,0.000046,0.000020,0.000021,-0.000023,0.100213,-0.100213
0.020000,0.000045,0.000037,0.000026,-0.000010,0.000003,0.000020,0.000053,0.000029,0.000025,-0.000033,0.100270,-0.100270
0.025000,0.000064,0.000050,0.000037,-0.000013,0.000005,0.000017,0.000050,0.000038,0.000016,-0.000060,0.100359,-0.100359
0.030000,0.000079,0.000062,0.000043,-0.000019,0.000012,0.000012,0.000043,0.000038,0.000012,-0.000078,0.100421,-0.100421
0.035000,0.000109,0.000085,0.000057,-0.000018,0.000022,0.000015,0.000026,0.000041,0.000003,-0.000110,0.100516,-0.100516
0.040000,0.000132,0.000093,0.000067,-0.000018,0.000030,0.000014,0.000001,0.000050,-0.000011,-0.000139,0.100582,-0.100582
0.045000,0.000170,0.000107,0.000086,-0.000038,0.000044,0.000013,-0.000049,0.000060,-0.000047,-0.000205,0.100685,-0.100685
0.050000,0.000193,0.000113,0.000103,-0.000051,0.000054,0.000016,-0.000087,0.000066,-0.000075,-0.000259,0.100755,-0.100755
0.055000,0.000235,0.000118,0.000112,-0.000060,0.000080,0.000009,-0.000151,0.000088,-0.000125,-0.000336,0.100864,-0.100864
0.060000,0.000261,0.000129,0.000115,-0.000057,0.000098,0.000000,-0.000192,0.000105,-0.000165,-0.000392,0.100939,-0.100939
0.065000,0.000302,0.000148,0.000127,-0.000049,0.000116,-0.000009,-0.000251,0.000144,-0.000211,-0.000479,0.101056,-0.101056
0.070000,0.000325,0.000161,0.000144,-0.000036,0.000128,-0.000008,-0.000287,0.000178,-0.000239,-0.000538,0.101135,-0.101135
0.075000,0.000342,0.000188,0.000155,-0.000032,0.000167,-0.000017,-0.000341,0.000239,-0.000280,-0.000624,0.101259,-0.101259
0.080000,0.000351,0.000204,0.000157,-0.000024,0.000198,-0.000024,-0.000383,0.000281,-0.000314,-0.000678,0.101344,-0.101344
0.085000,0.000376,0.000223,0.000163,-0.000011,0.000226,-0.000046,-0.000437,0.000349,-0.000361,-0.000780,0.101475,-0.101475
0.090000,0.000387,0.000244,0.000166,-0.000007,0.000251,-0.000071,-0.000476,0.000400,-0.000395,-0.000850,0.101565,-0.101565
0.095000,0.000398,0.000274,0.000174,0.000000,0.000298,-0.000114,-0.000529,0.000482,-0.000448,-0.000948,0.101704,-0.101704
0.100000,0.000402,0.000302,0.000181,0.000008,0.000331,-0.000137,-0.000564,0.000538,-0.000485,-0.001017,0.101799,-0.101799
0.105000,0.000410,0.000349,0.000189,0.000033,0.000384,-0.000163,-0.000616,0.000620,-0.000532,-0.001118,0.101945,-0.101945
0.110000,0.000413,0.000382,0.000201,0.000066,0.000418,-0.000181,-0.000644,0.000678,-0.000562,-0.001185,0.102045,-0.102045
0.115000,0.000422,0.000436,0.000223,0.000116,0.000468,-0.000200,-0.000688,0.000770,-0.000611,-0.001285,0.102200,-0.102200
0.120000,0.000423,0.000480,0.000245,0.000155,0.000504,-0.000208,-0.000712,0.000837,-0.000645,-0.001351,0.102306,-0.102306
0.125000,0.000412,0.000537,0.000274,0.000219,0.000583,-0.000224,-0.000750,0.000950,-0.000692,-0.001448,0.102469,-0.102469
0.130000,0.000400,0.000577,0.000310,0.000257,0.000641,-0.000230,-0.000776,0.001017,-0.000728,-0.001513,0.102580,-0.102580
0.135000,0.000397,0.000649,0.000372,0.000310,0.000737,-0.000239,-0.000813,0.001117,-0.000774,-0.001620,0.102751,-0.102751
0.140000,0.000388,0.000694,0.000419,0.000349,0.000808,-0.000254,-0.000835,0.001188,-0.000799,-0.001679,0.102868,-0.102868
0.145000,0.000378,0.000759,0.000490,0.000408,0.000916,-0.000263,-0.000880,0.001306,-0.000854,-0.001756,0.103048,-0.103048
0.150000,0.000372,0.000794,0.000542,0.000446,0.000988,-0.000264,-0.000906,0.001381,-0.000896,-0.001805,0.103170,-0.103170
0.155000,0.000366,0.000835,0.000616,0.000506,0.001092,-0.000264,-0.000941,0.001495,-0.000963,-0.001877,0.103359,-0.103359
0.160000,0.000360,0.000857,0.000662,0.000543,0.001158,-0.000261,-0.000967,0.001564,-0.001017,-0.001916,0.103487,-0.103487
0.165000,0.000356,0.000886,0.000732,0.000601,0.001262,-0.000252,-0.001004,0.001659,-0.001101,-0.001982,0.103685,-0.103685
0.170000,0.000342,0.000904,0.000774,0.000634,0.001328,-0.000245,-0.001026,0.001721,-0.001162,-0.002031,0.103819,-0.103819
0.175000,0.000303,0.000927,0.000841,0.000681,0.001436,-0.000241,-0.001052,0.001827,-0.001260,-0.002103,0.104025,-0.104025
0.180000,0.000270,0.000936,0.000882,0.000711,0.001519,-0.000241,-0.001060,0.001914,-0.001324,-0.002146,0.104166,-0.104166
0.185000,0.000222,0.000947,0.000949,0.000762,0.001632,-0.000244,-0.001078,0.002047,-0.001419,-0.002207,0.104381,-0.104381
0.190000,0.000187,0.000944,0.000990,0.000796,0.001705,-0.000249,-0.001099,0.002145,-0.001488,-0.002250,0.104528,-0.104528
0.195000,0.000120,0.000935,0.001058,0.000850,0.001797,-0.000246,-0.001145,0.002311,-0.001607,-0.002314,0.104752,-0.104752
0.200000,0.000072,0.000926,0.001107,0.000877,0.001861,-0.000242,-0.001187,0.002428,-0.001693,-0.002356,0.104905,-0.104905
0.205000,0.000003,0.000892,0.001194,0.000920,0.001969,-0.000236,-0.001258,0.002616,-0.001821,-0.002417,0.105139,-0.105139
0.210000,-0.000046,0.000856,0.001253,0.000948,0.002042,-0.000224,-0.001303,0.002753,-0.001908,-0.002449,0.105298,-0.105298
0.215000,-0.000124,0.000796,0.001347,0.000989,0.002149,-0.000215,-0.001379,0.002966,-0.002041,-0.002492,0.105542,-0.105542
