time, Quad1.Est.E.VX, Quad2.Est.E.VX, Quad3.Est.E.VX, Quad4.Est.E.VX, Quad5.Est.E.VX, Quad6.Est.E.VX, Quad7.Est.E.VX, Quad8.Est.E.VX, Quad9.Est.E.VX, Quad10.Est.E.VX, Quad1.Est.S.VX, Quad1.Est.S.VX
0.005000,0.002469,0.001696,0.001464,0.000832,0.000678,0.001395,0.004708,0.001146,-0.000027,-0.002640,0.101193,-0.101193
0.010000,0.002315,0.003559,0.001074,-0.000679,-0.000251,0.001780,0.004072,0.000964,0.002067,-0.000694,0.101980,-0.101980
0.015000,0.003788,0.002146,0.001782,-0.002664,-0.000003,0.000252,0.002398,0.002565,0.001580,-0.002405,0.103150,-0.103150
0.020000,0.002626,0.003063,0.003027,-0.000797,0.000538,0.000365,-0.000263,0.001502,-0.000855,-0.004329,0.103923,-0.103923
0.025000,0.003259,0.002819,0.001012,-0.001739,0.001312,-0.002053,-0.002142,-0.000126,-0.001041,-0.004659,0.105071,-0.105071
0.030000,0.004100,0.004678,0.002567,-0.000772,0.001427,0.000890,-0.001670,0.000142,-0.000397,-0.004355,0.105830,-0.105830
0.035000,0.005249,0.002395,0.002225,0.000261,0.002273,-0.000288,-0.005652,0.001916,-0.003180,-0.006095,0.106958,-0.106958
0.040000,0.006160,0.001603,0.002748,-0.002060,0.001593,0.000571,-0.007731,0.000801,-0.005623,-0.009675,0.107703,-0.107703
0.045000,0.005874,0.001805,0.004665,-0.003130,0.002814,-0.000074,-0.008741,0.001669,-0.006794,-0.014536,0.108812,-0.108812
0.050000,0.006662,0.001223,0.003327,-0.002679,0.004773,0.000274,-0.010637,0.002559,-0.008470,-0.013119,0.109545,-0.109545
0.055000,0.006340,0.002172,0.000678,0.001904,0.005382,-0.002508,-0.010116,0.002863,-0.010274,-0.013544,0.110635,-0.110635
0.060000,0.006976,0.002530,0.000392,-0.000270,0.002517,-0.002648,-0.010282,0.005706,-0.008726,-0.014826,0.111355,-0.111355
0.065000,0.006312,0.002841,0.004046,0.003094,0.002268,0.000181,-0.009117,0.008130,-0.007820,-0.014739,0.112428,-0.112428
0.070000,0.002558,0.002561,0.002473,0.000592,0.005972,-0.001011,-0.009134,0.009304,-0.006583,-0.015798,0.113137,-0.113137
0.075000,0.002590,0.003929,0.001012,0.001194,0.007754,-0.001379,-0.010427,0.010990,-0.007524,-0.013165,0.114193,-0.114193
0.080000,0.003420,0.003585,0.000481,0.002891,0.005829,-0.002824,-0.010742,0.009876,-0.007758,-0.015356,0.114892,-0.114892
0.085000,0.003597,0.004825,0.000113,0.000956,0.005434,-0.005901,-0.009588,0.012940,-0.007303,-0.017588,0.115931,-0.115931
0.090000,0.001959,0.004603,0.000904,0.000946,0.006055,-0.006212,-0.009200,0.013392,-0.008670,-0.016449,0.116620,-0.116620
0.095000,0.001679,0.006865,0.001289,0.002015,0.007611,-0.006437,-0.008962,0.013819,-0.009039,-0.016681,0.117644,-0.117644
0.100000,0.000934,0.007903,0.001066,0.003764,0.009315,-0.004072,-0.009244,0.013077,-0.008381,-0.015841,0.118322,-0.118322
0.105000,-0.000201,0.007917,0.002740,0.007939,0.008329,-0.004860,-0.007236,0.014285,-0.006888,-0.016513,0.119332,-0.119332
0.110000,0.001894,0.008387,0.004479,0.008776,0.007977,-0.004318,-0.007022,0.014661,-0.007948,-0.018309,0.120001,-0.120001
0.115000,0.000814,0.010757,0.005326,0.008447,0.009165,-0.001791,-0.005995,0.015823,-0.008612,-0.016795,0.120997,-0.120997
0.120000,-0.000531,0.009516,0.004341,0.011385,0.010772,-0.003152,-0.006488,0.019987,-0.008720,-0.015177,0.121656,-0.121656
0.125000,-0.002828,0.009588,0.008020,0.009612,0.014295,-0.001310,-0.005968,0.016855,-0.008630,-0.016373,0.122639,-0.122639
0.130000,-0.001315,0.011657,0.009685,0.008397,0.015412,-0.000908,-0.007329,0.016407,-0.008453,-0.017892,0.123290,-0.123290
0.135000,-0.002271,0.011829,0.012414,0.009240,0.017395,-0.003984,-0.004553,0.017234,-0.005478,-0.014286,0.124259,-0.124259
0.140000,-0.002046,0.011517,0.011246,0.009536,0.017676,-0.001756,-0.007258,0.018986,-0.008389,-0.013017,0.124902,-0.124902
0.145000,-0.001794,0.008680,0.013362,0.009504,0.018375,-0.001505,-0.006205,0.019297,-0.010589,-0.012249,0.125859,-0.125859
0.150000,-0.002284,0.007421,0.012175,0.010375,0.017619,0.000566,-0.006409,0.018945,-0.009423,-0.012524,0.126493,-0.126493
0.155000,-0.000700,0.006600,0.011114,0.009624,0.016649,0.000133,-0.005987,0.017445,-0.013182,-0.010206,0.127439,-0.127439
0.160000,-0.000133,0.003669,0.011643,0.009791,0.017395,0.001738,-0.006401,0.016627,-0.014402,-0.009866,0.128065,-0.128065
0.165000,-0.001870,0.004948,0.010143,0.008244,0.015979,0.002633,-0.005824,0.015112,-0.015104,-0.012071,0.128999,-0.128999
0.170000,-0.005976,0.004107,0.012136,0.008457,0.016302,0.000465,-0.005025,0.015752,-0.015696,-0.012660,0.129618,-0.129618
0.175000,-0.007700,0.002244,0.010939,0.007790,0.020125,0.000480,-0.001567,0.021706,-0.017105,-0.010968,0.130541,-0.130541
0.180000,-0.008494,0.002808,0.010490,0.008607,0.019671,-0.000006,-0.002299,0.021875,-0.014475,-0.011240,0.131153,-0.131153
0.185000,-0.008029,-0.000248,0.009605,0.008406,0.018557,-0.001243,-0.004696,0.023411,-0.016954,-0.009527,0.132065,-0.132065
0.190000,-0.010605,-0.000945,0.010638,0.009296,0.015493,-0.000942,-0.006771,0.026601,-0.019535,-0.010288,0.132669,-0.132669
0.195000,-0.011335,-0.001739,0.011631,0.007201,0.015151,0.000605,-0.011073,0.029434,-0.020700,-0.010851,0.133571,-0.133571
0.200000,-0.011167,-0.004473,0.015534,0.006418,0.017794,0.000314,-0.011069,0.029591,-0.021432,-0.010651,0.134169,-0.134169
0.205000,-0.012787,-0.008522,0.014427,0.007500,0.017514,0.003464,-0.011290,0.033014,-0.021131,-0.008219,0.135061,-0.135061
0.210000,-0.012253,-0.009640,0.015471,0.006760,0.017851,0.002696,-0.011829,0.034544,-0.021284,-0.006458,0.135653,-0.135653
0.215000,-0.012857,-0.011462,0.014260,0.004773,0.017487,0.000353,-0.013680,0.037425,-0.023759,-0.009740,0.136535,-0.136535
0.220000,-0.014374,-0.012041,0.012745,0.003801,0.018250,-0.001136,-0.014731,0.037005,-0.023917,-0.008987,0.137120,-0.137120
0.225000,-0.013724,-0.012349,0.014080,0.001934,0.017836,-0.002319,-0.017703,0.040297,-0.022449,-0.009360,0.137993,-0.137993
0.230000,-0.014088,-0.010973,0.016728,0.002002,0.018178,-0.001566,-0.017857,0.040470,-0.022284,-0.010990,0.138572,-0.138572
0.235000,-0.013451,-0.008632,0.015327,-0.000948,0.016720,-0.001892,-0.018419,0.042836,-0.019271,-0.008740,0.139435,-0.139435
0.240000,-0.015358,-0.008491,0.015842,-0.000499,0.018105,-0.003046,-0.014891,0.041739,-0.019212,-0.008985,0.140008,-0.140008
0.245000,-0.017192,-0.007732,0.017243,-0.004499,0.019897,-0.003703,-0.014550,0.041985,-0.019695,-0.007304,0.140863,-0.140863
0.250000,-0.017190,-0.011123,0.020041,-0.004810,0.020493,-0.004042,-0.015888,0.042863,-0.019927,-0.009714,0.141430,-0.141430
0.255000,-0.017550,-0.010073,0.021587,-0.005154,0.020153,-0.004117,-0.013003,0.045251,-0.021041,-0.010521,0.142276,-0.142276
0.260000,-0.019093,-0.009988,0.024478,-0.004551,0.018642,-0.003994,-0.015185,0.044168,-0.020597,-0.009960,0.142838,-0.142838
0.265000,-0.020314,-0.011232,0.025514,-0.004074,0.021070,-0.004440,-0.016797,0.045976,-0.019253,-0.009622,0.143676,-0.143676
0.270000,-0.021035,-0.011227,0.026262,-0.003323,0.023754,-0.004750,-0.014749,0.046998,-0.018033,-0.008300,0.144232,-0.144232
0.275000,-0.023652,-0.012903,0.026487,-0.005582,0.023326,-0.003018,-0.012969,0.044795,-0.018499,-0.010988,0.145062,-0.145062
0.280000,-0.023244,-0.013792,0.026721,-0.005444,0.023227,-0.002424,-0.012480,0.047900,-0.017745,-0.010453,0.145613,-0.145613
0.285000,-0.027715,-0.010790,0.029085,-0.004788,0.023658,-0.000124,-0.017186,0.047198,-0.016303,-0.009900,0.146436,-0.146436
